2026-04-24 10:19:22 AUDIT | timestamp=2026-04-24T04:49:22.117533Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:19:31 AUDIT | timestamp=2026-04-24T04:49:31.285369100Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/.well-known/appspecific/com.chrome.devtools.json | riskScore=5 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:22:23 AUDIT | timestamp=2026-04-24T04:52:23.654413500Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:22:23 AUDIT | timestamp=2026-04-24T04:52:23.714536800Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/.well-known/appspecific/com.chrome.devtools.json | riskScore=5 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:26:09 AUDIT | timestamp=2026-04-24T04:56:09.393340800Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:26:09 AUDIT | timestamp=2026-04-24T04:56:09.475261400Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/.well-known/appspecific/com.chrome.devtools.json | riskScore=5 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:32:19 AUDIT | timestamp=2026-04-24T05:02:19.983592400Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:35:29 AUDIT | timestamp=2026-04-24T05:05:29.543051500Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:35:48 AUDIT | timestamp=2026-04-24T05:05:48.146227500Z | ip=0:0:0:0:0:0:0:1 | method=OPTIONS | uri=/api/payments/transfer | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:35:48 AUDIT | timestamp=2026-04-24T05:05:48.370820200Z | ip=0:0:0:0:0:0:0:1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:35:54 AUDIT | timestamp=2026-04-24T05:05:54.454138100Z | ip=0:0:0:0:0:0:0:1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=ALLOW | attackType=DUPLICATE | statusCode=200
2026-04-24 10:36:34 AUDIT | timestamp=2026-04-24T05:06:34.659575900Z | ip=0:0:0:0:0:0:0:1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-24 10:36:47 AUDIT | timestamp=2026-04-24T05:06:47.745939800Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:47 AUDIT | timestamp=2026-04-24T05:06:47.783628500Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:47 AUDIT | timestamp=2026-04-24T05:06:47.813506600Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:47 AUDIT | timestamp=2026-04-24T05:06:47.845117Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:47 AUDIT | timestamp=2026-04-24T05:06:47.875134100Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:47 AUDIT | timestamp=2026-04-24T05:06:47.907466200Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:47 AUDIT | timestamp=2026-04-24T05:06:47.942934900Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:47 AUDIT | timestamp=2026-04-24T05:06:47.979547300Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:48 AUDIT | timestamp=2026-04-24T05:06:48.012047100Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:48 AUDIT | timestamp=2026-04-24T05:06:48.045651500Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:48 AUDIT | timestamp=2026-04-24T05:06:48.074644700Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:48 AUDIT | timestamp=2026-04-24T05:06:48.105412900Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:48 AUDIT | timestamp=2026-04-24T05:06:48.137133600Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:48 AUDIT | timestamp=2026-04-24T05:06:48.169867200Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:36:48 AUDIT | timestamp=2026-04-24T05:06:48.206239700Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-04-24 10:39:01 AUDIT | timestamp=2026-04-24T05:09:01.365787800Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
