2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.722724700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.722724700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.723742500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.722724700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.722724700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.865029100Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.868430500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.869442100Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.872440400Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:38:54 AUDIT | timestamp=2026-04-27T05:08:54.872440400Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=30 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:38:58 AUDIT | timestamp=2026-04-27T05:08:58.028776600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:38:58 AUDIT | timestamp=2026-04-27T05:08:58.030996200Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:00 AUDIT | timestamp=2026-04-27T05:09:00.055148700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:00 AUDIT | timestamp=2026-04-27T05:09:00.055148700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:00 AUDIT | timestamp=2026-04-27T05:09:00.068536300Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:00 AUDIT | timestamp=2026-04-27T05:09:00.082850100Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:02 AUDIT | timestamp=2026-04-27T05:09:02.089172900Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:02 AUDIT | timestamp=2026-04-27T05:09:02.092283600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:05 AUDIT | timestamp=2026-04-27T05:09:05.054920500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:05 AUDIT | timestamp=2026-04-27T05:09:05.113946Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:05 AUDIT | timestamp=2026-04-27T05:09:05.113946Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:07 AUDIT | timestamp=2026-04-27T05:09:07.086195500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:07 AUDIT | timestamp=2026-04-27T05:09:07.242595900Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:09 AUDIT | timestamp=2026-04-27T05:09:09.268509300Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:10 AUDIT | timestamp=2026-04-27T05:09:10.258140600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:11 AUDIT | timestamp=2026-04-27T05:09:11.322815700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:12 AUDIT | timestamp=2026-04-27T05:09:12.148274500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:12 AUDIT | timestamp=2026-04-27T05:09:12.148274500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:12 AUDIT | timestamp=2026-04-27T05:09:12.164430500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:12 AUDIT | timestamp=2026-04-27T05:09:12.273051300Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=40 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:13 AUDIT | timestamp=2026-04-27T05:09:13.463038400Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:15 AUDIT | timestamp=2026-04-27T05:09:15.470492500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:17 AUDIT | timestamp=2026-04-27T05:09:17.278212600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:17 AUDIT | timestamp=2026-04-27T05:09:17.278803600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:17 AUDIT | timestamp=2026-04-27T05:09:17.527005400Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:19 AUDIT | timestamp=2026-04-27T05:09:19.287427Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:19 AUDIT | timestamp=2026-04-27T05:09:19.288421600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:22 AUDIT | timestamp=2026-04-27T05:09:22.297141600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:22 AUDIT | timestamp=2026-04-27T05:09:22.324502600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:22 AUDIT | timestamp=2026-04-27T05:09:22.668742600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:24 AUDIT | timestamp=2026-04-27T05:09:24.315571700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:24 AUDIT | timestamp=2026-04-27T05:09:24.359554200Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:24 AUDIT | timestamp=2026-04-27T05:09:24.437027400Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:24 AUDIT | timestamp=2026-04-27T05:09:24.687674700Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=SQL_INJECTION | statusCode=400
2026-04-27 10:39:26 AUDIT | timestamp=2026-04-27T05:09:26.385656500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=70 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:26 AUDIT | timestamp=2026-04-27T05:09:26.745089800Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=70 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:28 AUDIT | timestamp=2026-04-27T05:09:28.521959600Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:29 AUDIT | timestamp=2026-04-27T05:09:29.367819500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=50 | decision=BLOCK | attackType=XSS | statusCode=400
2026-04-27 10:39:29 AUDIT | timestamp=2026-04-27T05:09:29.485694500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
2026-04-27 10:39:31 AUDIT | timestamp=2026-04-27T05:09:31.482272500Z | ip=127.0.0.1 | method=POST | uri=/api/payments/transfer | riskScore=70 | decision=THROTTLE | attackType=NONE | statusCode=200
