2026-05-03 08:57:58 AUDIT | timestamp=2026-05-03T03:27:58.225162900Z | ip=0:0:0:0:0:0:0:1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:19 AUDIT | timestamp=2026-05-03T03:28:19.996069900Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:21 AUDIT | timestamp=2026-05-03T03:28:21.044371100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:22 AUDIT | timestamp=2026-05-03T03:28:22.179282800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:23 AUDIT | timestamp=2026-05-03T03:28:23.161313700Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:24 AUDIT | timestamp=2026-05-03T03:28:24.219715400Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:25 AUDIT | timestamp=2026-05-03T03:28:25.275517100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:26 AUDIT | timestamp=2026-05-03T03:28:26.318867500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:27 AUDIT | timestamp=2026-05-03T03:28:27.362736100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:27 AUDIT | timestamp=2026-05-03T03:28:27.433201500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:28 AUDIT | timestamp=2026-05-03T03:28:28.452592800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=10 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:28 AUDIT | timestamp=2026-05-03T03:28:28.494803800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:29 AUDIT | timestamp=2026-05-03T03:28:29.471966300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:29 AUDIT | timestamp=2026-05-03T03:28:29.517777600Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:30 AUDIT | timestamp=2026-05-03T03:28:30.539682200Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:30 AUDIT | timestamp=2026-05-03T03:28:30.618773100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:31 AUDIT | timestamp=2026-05-03T03:28:31.575378500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:31 AUDIT | timestamp=2026-05-03T03:28:31.682156800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:32 AUDIT | timestamp=2026-05-03T03:28:32.628137300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:32 AUDIT | timestamp=2026-05-03T03:28:32.725584800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:33 AUDIT | timestamp=2026-05-03T03:28:33.703028100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:33 AUDIT | timestamp=2026-05-03T03:28:33.814098800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:34 AUDIT | timestamp=2026-05-03T03:28:34.743656500Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:34 AUDIT | timestamp=2026-05-03T03:28:34.858705100Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:34 AUDIT | timestamp=2026-05-03T03:28:34.952579800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:35 AUDIT | timestamp=2026-05-03T03:28:35.804264300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:35 AUDIT | timestamp=2026-05-03T03:28:35.907506300Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:36 AUDIT | timestamp=2026-05-03T03:28:36.148330800Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:36 AUDIT | timestamp=2026-05-03T03:28:36.871540Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
2026-05-03 08:58:36 AUDIT | timestamp=2026-05-03T03:28:36.927790400Z | ip=127.0.0.1 | method=GET | uri=/api/account/balance | riskScore=20 | decision=ALLOW | attackType=NONE | statusCode=200
